shareholder_funds,net_assets_liabilities_including_pension_asset_liability,Cluster
6736.0,6736.0,0
10655.0,10655.0,0
100.0,503.0,0
100.0,298.0,0
1.0,2964.0,0
1.0,7317.0,0
-3628.0,-3628.0,0
-2271.0,-2271.0,0
250.0,68103.0,0
250.0,44842.0,0
100.0,444963.0,0
100.0,316077.0,0
30.0,238719.0,0
30.0,253167.0,0
1409537.0,1409537.0,0
1438316.0,1438316.0,0
29215.0,29215.0,0
40618.0,40618.0,0
100.0,-15329.0,0
100.0,-19030.0,0
1440.0,1440.0,0
10626.0,10626.0,0
25432.0,25432.0,0
22495.0,22495.0,0
967.0,967.0,0
25.0,25.0,0
